                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.321,                 2.2458,                 1.9953,                 0.7062,                0.81132,                0.80014,                0.40933,                 1.4757,                 1.4659,                 1.3319,               0.070652,              0.0032609,              0.0032609
                      1,                 1.4683,                 1.0363,                  1.337,                0.78675,                0.81132,                0.85948,                0.50439,                 1.3163,                 1.3308,                 1.2256,               0.040587,              0.0065289,              0.0065289
                      2,                 1.4738,                0.98183,                 1.2962,                0.78696,                0.88679,                  0.854,                0.46337,                 1.4689,                0.91248,                 1.3113,               0.010456,               0.009731,               0.009731
                      3,                 1.4519,                0.97683,                 1.2882,                0.69893,                0.83222,                0.82794,                0.47605,                 1.3563,                 1.0109,                 1.3022,               0.009703,               0.009703,               0.009703
                      4,                 1.4527,                 0.9244,                 1.2727,                0.71313,                0.73113,                0.74481,                0.39532,                 1.5254,                 1.2613,                 1.3921,               0.009703,               0.009703,               0.009703
                      5,                 1.4297,                0.90028,                 1.2751,                0.70856,                0.86321,                0.80753,                0.44195,                 1.4218,                 1.1739,                 1.3269,               0.009604,               0.009604,               0.009604
                      6,                 1.4255,                 0.8978,                 1.2748,                0.76306,                 0.8659,                0.87613,                0.50161,                 1.3649,                0.89724,                 1.2959,               0.009505,               0.009505,               0.009505
                      7,                 1.3894,                0.86866,                 1.2693,                0.81669,                0.82075,                0.88164,                0.49091,                 1.3718,                0.97327,                  1.317,               0.009406,               0.009406,               0.009406
                      8,                 1.3878,                0.86377,                 1.2709,                0.75741,                0.83962,                0.86477,                0.46997,                 1.4092,                0.95335,                 1.3284,               0.009307,               0.009307,               0.009307
                      9,                 1.3653,                0.83484,                 1.2485,                0.79949,                0.84638,                0.82032,                0.45108,                 1.4149,                0.96699,                 1.3186,               0.009208,               0.009208,               0.009208
