                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.189,                 2.7774,                 1.8772,                 0.8106,                0.41981,                0.68417,                0.33282,                 1.2836,                 2.0741,                 1.2624,               0.070652,              0.0032609,              0.0032609
                      1,                 1.5094,                 1.3383,                 1.3365,                0.68628,                0.68103,                0.69349,                0.35455,                 1.4805,                 1.6433,                 1.3478,               0.040587,              0.0065289,              0.0065289
                      2,                 1.5313,                 1.2361,                 1.2952,                  0.809,                0.77917,                0.81468,                0.42983,                 1.4805,                 1.2703,                  1.268,               0.010456,               0.009731,               0.009731
                      3,                 1.5032,                 1.1915,                   1.27,                0.78564,                0.74057,                0.77884,                0.41468,                 1.3927,                 1.2967,                 1.2015,               0.009703,               0.009703,               0.009703
                      4,                   1.46,                 1.1658,                 1.2554,                0.53322,                0.75943,                0.62228,                0.31784,                 1.5159,                 1.5262,                 1.3613,               0.009703,               0.009703,               0.009703
                      5,                 1.4338,                 1.1195,                 1.2461,                0.81455,                0.74057,                 0.8108,                0.45985,                 1.3359,                 1.1738,                 1.2123,               0.009604,               0.009604,               0.009604
                      6,                 1.4301,                 1.1168,                 1.2327,                0.78885,                0.78302,                0.83275,                0.47539,                 1.3933,                 1.1611,                 1.2461,               0.009505,               0.009505,               0.009505
                      7,                 1.4102,                 1.0964,                 1.2339,                0.64587,                0.75706,                0.73959,                0.38785,                 1.5264,                 1.2163,                 1.3408,               0.009406,               0.009406,               0.009406
                      8,                 1.4044,                 1.0747,                 1.2289,                0.75746,                 0.7783,                0.81392,                0.47444,                 1.3576,                 1.1334,                 1.2252,               0.009307,               0.009307,               0.009307
                      9,                 1.3849,                 1.0308,                 1.2075,                0.81953,                0.81398,                0.87896,                0.49026,                 1.4032,                 1.0864,                 1.2278,               0.009208,               0.009208,               0.009208
                     10,                 1.3938,                 1.0094,                 1.2084,                0.79879,                0.84266,                0.87916,                0.51641,                 1.3469,                 1.0475,                 1.2119,               0.009109,               0.009109,               0.009109
                     11,                 1.3801,                 1.0287,                 1.2149,                 0.7605,                 0.8066,                0.82541,                0.47079,                 1.3313,                 1.0903,                  1.203,                0.00901,                0.00901,                0.00901
                     12,                 1.3878,                 1.0408,                 1.2173,                0.71225,                 0.8066,                0.74806,                0.41447,                 1.3473,                 1.2298,                 1.2103,               0.008911,               0.008911,               0.008911
                     13,                 1.3525,                 1.0012,                 1.1887,                0.83117,                0.83962,                0.87418,                0.50748,                 1.3387,                 1.0303,                 1.1905,               0.008812,               0.008812,               0.008812
                     14,                  1.347,                0.98125,                 1.1962,                0.84828,                0.79717,                 0.8819,                0.50746,                 1.3551,                 1.0257,                 1.2141,               0.008713,               0.008713,               0.008713
                     15,                  1.347,                0.97831,                 1.1984,                0.72587,                0.74528,                0.80163,                0.42887,                   1.43,                 1.1692,                 1.2869,               0.008614,               0.008614,               0.008614
                     16,                 1.3474,                0.97017,                 1.1948,                0.85537,                0.77358,                0.87096,                0.50359,                 1.3436,                 1.0044,                 1.1887,               0.008515,               0.008515,               0.008515
                     17,                 1.3347,                0.95662,                 1.1883,                 0.8451,                0.74633,                0.86717,                0.46208,                 1.4656,                 1.0906,                  1.281,               0.008416,               0.008416,               0.008416
                     18,                 1.3337,                0.96029,                 1.1829,                0.81127,                0.85159,                0.88778,                0.51661,                 1.3708,                0.99956,                 1.2007,               0.008317,               0.008317,               0.008317
                     19,                 1.3144,                0.94737,                 1.1769,                0.76371,                0.79717,                0.84498,                0.46067,                 1.3931,                 1.0687,                 1.2496,               0.008218,               0.008218,               0.008218
                     20,                 1.3163,                0.92386,                 1.1821,                0.86911,                0.84434,                 0.9041,                0.51676,                 1.3367,                0.95732,                 1.2002,               0.008119,               0.008119,               0.008119
                     21,                 1.3116,                 0.9257,                 1.1827,                0.80557,                0.81604,                0.86823,                 0.4976,                 1.3531,                 1.0454,                 1.2261,                0.00802,                0.00802,                0.00802
                     22,                 1.3043,                0.90532,                 1.1758,                 0.8323,                0.81938,                0.88753,                0.51157,                  1.336,                0.95928,                 1.2028,               0.007921,               0.007921,               0.007921
