                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0397,                 3.1601,                 2.5325,                0.25022,                0.23299,                0.13926,                0.04582,                 2.5688,                 2.3055,                 2.2542,               0.067717,             0.00032609,             0.00032609
                      1,                 2.2195,                 1.9401,                 1.9871,                0.60862,                0.65566,                 0.5906,                0.29242,                 1.5737,                 1.4484,                 1.5756,               0.034696,             0.00063766,             0.00063766
                      2,                 1.6173,                 1.2645,                 1.5371,                0.78434,                0.76415,                0.82441,                0.47011,                   1.41,                0.97975,                 1.3884,              0.0016519,             0.00092723,             0.00092723
                      3,                 1.4582,                0.99104,                 1.3845,                0.81223,                0.81614,                0.88675,                0.52386,                 1.3336,                0.86424,                 1.3225,               0.000901,               0.000901,               0.000901
                      4,                 1.3932,                0.87979,                 1.3295,                0.84881,                0.82097,                0.90224,                0.53582,                 1.3075,                0.79122,                 1.2958,               0.000901,               0.000901,               0.000901
                      5,                 1.3434,                0.80336,                 1.3034,                0.88407,                0.82733,                 0.9078,                0.55358,                 1.2841,                0.74859,                 1.2653,               0.000868,               0.000868,               0.000868
                      6,                 1.3468,                0.80334,                 1.2831,                 0.8614,                0.83491,                0.90926,                0.53759,                 1.3003,                 0.7462,                 1.2728,               0.000835,               0.000835,               0.000835
                      7,                 1.3281,                0.77167,                 1.2717,                0.84515,                0.84959,                0.91198,                0.54522,                 1.2821,                0.73899,                  1.274,               0.000802,               0.000802,               0.000802
                      8,                 1.2985,                0.74893,                 1.2611,                0.89035,                0.84434,                0.92727,                0.55969,                 1.2924,                0.70889,                 1.2628,               0.000769,               0.000769,               0.000769
                      9,                 1.2761,                 0.7194,                 1.2379,                0.87256,                0.83962,                0.92291,                0.54842,                 1.3362,                0.73836,                 1.2885,               0.000736,               0.000736,               0.000736
                     10,                 1.2723,                0.70915,                  1.231,                0.80719,                0.88864,                0.91803,                0.55719,                 1.3027,                0.72576,                 1.2634,               0.000703,               0.000703,               0.000703
                     11,                 1.2678,                0.71669,                 1.2467,                0.83191,                0.86378,                0.92451,                0.57046,                 1.2877,                0.70249,                 1.2609,                0.00067,                0.00067,                0.00067
                     12,                 1.2723,                0.71087,                 1.2459,                0.82703,                0.84906,                0.91165,                0.53798,                 1.3225,                 0.7613,                 1.2842,               0.000637,               0.000637,               0.000637
                     13,                 1.2431,                0.67534,                 1.2222,                0.79974,                0.84766,                0.90781,                0.55015,                 1.3142,                0.71811,                 1.2859,               0.000604,               0.000604,               0.000604
                     14,                 1.2219,                 0.6594,                 1.2219,                0.86183,                0.85327,                0.91675,                0.54981,                 1.3156,                0.72698,                 1.2759,               0.000571,               0.000571,               0.000571
                     15,                 1.2203,                0.65685,                 1.2162,                0.86416,                0.84021,                0.91287,                0.55235,                 1.3047,                0.72154,                 1.2772,               0.000538,               0.000538,               0.000538
                     16,                 1.1967,                0.64489,                 1.2041,                0.85456,                0.84434,                0.91307,                 0.5484,                 1.3364,                0.73552,                 1.2866,               0.000505,               0.000505,               0.000505
                     17,                  1.205,                0.62624,                 1.2039,                0.93466,                 0.8066,                0.92802,                 0.5535,                 1.3322,                0.73065,                 1.2796,               0.000472,               0.000472,               0.000472
                     18,                 1.1846,                0.62754,                 1.1994,                 0.8685,                0.84434,                 0.9173,                0.53902,                 1.3652,                0.76343,                 1.2985,               0.000439,               0.000439,               0.000439
                     19,                 1.1677,                0.61304,                 1.1824,                0.88274,                0.81675,                0.92105,                0.54157,                 1.3834,                0.73663,                 1.2953,               0.000406,               0.000406,               0.000406
                     20,                 1.1646,                0.60646,                 1.1881,                0.87818,                0.85006,                 0.9208,                0.54431,                 1.3503,                0.73599,                 1.2915,               0.000373,               0.000373,               0.000373
                     21,                 1.1473,                0.59016,                 1.1818,                 0.8923,                0.82065,                0.91212,                0.53845,                 1.3494,                0.74552,                 1.2959,                0.00034,                0.00034,                0.00034
                     22,                 1.1632,                0.58013,                 1.1919,                 0.8462,                0.83962,                0.90495,                 0.5399,                 1.3603,                0.75255,                 1.3061,               0.000307,               0.000307,               0.000307
                     23,                 1.1297,                0.58112,                 1.1785,                0.86385,                0.83491,                0.91273,                 0.5383,                 1.4006,                 0.7441,                 1.3243,               0.000274,               0.000274,               0.000274
                     24,                 1.1349,                0.57617,                 1.1756,                0.85444,                0.84906,                0.90818,                0.54092,                 1.3551,                0.73776,                  1.302,               0.000241,               0.000241,               0.000241
                     25,                 1.1336,                 0.5796,                 1.1743,                0.89083,                0.82547,                0.90838,                0.53652,                 1.3782,                0.75514,                 1.3179,               0.000208,               0.000208,               0.000208
                     26,                 1.1329,                0.56495,                 1.1651,                0.84081,                0.84711,                0.90836,                0.53612,                 1.3649,                 0.7654,                 1.3046,               0.000175,               0.000175,               0.000175
                     27,                 1.1229,                0.56525,                 1.1681,                0.85422,                0.83491,                0.90717,                0.54138,                 1.3494,                 0.7613,                 1.2966,               0.000142,               0.000142,               0.000142
                     28,                 1.1081,                0.54935,                 1.1672,                0.87875,                0.83962,                0.91164,                 0.5435,                 1.3639,                0.75609,                 1.3029,               0.000109,               0.000109,               0.000109
                     29,                  1.108,                0.54425,                 1.1705,                0.86224,                0.82663,                 0.9102,                0.53924,                 1.3709,                0.74969,                 1.3095,                7.6e-05,                7.6e-05,                7.6e-05
