               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098519,            0.081385,                   0,            0.046667,             0.53302,            0.063524,            0.012703,            0.079453,            0.055907,                   0,            0.070652,           0.0032609,           0.0032609
                   1,             0.07205,            0.087903,                   0,             0.34238,             0.53047,             0.37986,              0.1338,            0.064305,            0.048454,                   0,            0.040587,           0.0065289,           0.0065289
                   2,            0.064472,            0.070829,                   0,             0.54915,             0.58019,             0.52318,             0.24131,            0.060259,            0.045279,                   0,            0.010456,            0.009731,            0.009731
                   3,            0.055856,            0.068651,                   0,              0.5569,             0.60849,             0.61333,             0.29789,            0.048118,            0.042333,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048502,            0.065926,                   0,             0.68133,             0.70597,             0.72898,             0.32423,            0.043231,            0.052825,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.043319,            0.067691,                   0,               0.827,             0.84906,             0.87306,             0.39356,            0.041013,            0.038152,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.040055,            0.064349,                   0,             0.82417,             0.78774,             0.85613,             0.41317,             0.03838,            0.041199,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038694,            0.064606,                   0,             0.81216,              0.8066,              0.8654,             0.46174,             0.03519,            0.040067,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.03761,            0.063117,                   0,             0.79685,             0.79717,             0.85125,             0.46496,            0.033458,               0.043,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03733,            0.061722,                   0,             0.87938,             0.78774,             0.89152,             0.48177,            0.034815,            0.040299,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035936,            0.062155,                   0,             0.83479,             0.87736,             0.89342,             0.50545,            0.032773,            0.038265,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035783,            0.060991,                   0,             0.78851,             0.79142,             0.83843,             0.43141,             0.03489,            0.044261,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.034726,             0.06111,                   0,             0.76637,             0.87736,             0.88397,             0.49715,            0.032301,            0.040077,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033977,            0.060771,                   0,             0.81283,             0.82547,             0.88254,             0.45863,            0.034062,            0.040889,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033876,            0.061123,                   0,             0.66257,             0.75023,             0.75554,             0.39039,            0.034795,            0.051085,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.033264,            0.060072,                   0,             0.86666,             0.80189,             0.86937,             0.48401,            0.034109,            0.039435,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.032949,            0.058929,                   0,             0.76511,             0.87578,             0.85514,             0.47716,            0.031567,            0.042591,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033208,            0.059213,                   0,             0.83566,             0.82075,             0.87493,             0.47291,            0.034398,            0.042878,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.031957,            0.059242,                   0,              0.8451,             0.82547,              0.8676,             0.49826,            0.032528,             0.03979,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032257,            0.056787,                   0,             0.89034,              0.8066,             0.88416,             0.48681,            0.033642,             0.04036,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.031736,            0.056321,                   0,             0.83682,             0.86792,             0.89164,             0.51334,            0.032696,            0.039796,                   0,            0.008119,            0.008119,            0.008119
