                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3007,                 2.1639,                 2.0153,                0.63957,                0.87264,                0.71791,                0.39389,                 1.3701,                 1.1303,                 1.3521,               0.070652,              0.0032609,              0.0032609
                      1,                 1.4454,                 1.0203,                 1.3319,                0.70299,                0.78302,                0.79604,                0.45271,                 1.3415,                0.99376,                 1.2597,               0.040587,              0.0065289,              0.0065289
                      2,                 1.4757,                 1.0245,                 1.3148,                0.61522,                0.79191,                 0.6783,                0.32687,                 1.6626,                 1.1806,                 1.5184,               0.010456,               0.009731,               0.009731
                      3,                 1.4939,                0.95009,                 1.3337,                0.63021,                0.76415,                0.75587,                0.42751,                 1.3064,                 1.0233,                 1.3017,               0.009703,               0.009703,               0.009703
                      4,                 1.4142,                 0.9796,                 1.2935,                0.86922,                0.82075,                0.89168,                 0.5161,                 1.4025,                0.96628,                 1.3435,               0.009703,               0.009703,               0.009703
                      5,                 1.4228,                 0.9083,                 1.3222,                0.71178,                 0.8066,                0.78564,                0.40992,                 1.4926,                 1.2426,                  1.401,               0.009604,               0.009604,               0.009604
                      6,                 1.4365,                0.92197,                 1.3116,                0.72732,                0.78302,                0.76844,                0.41517,                 1.4625,                  1.028,                  1.395,               0.009505,               0.009505,               0.009505
                      7,                 1.4345,                0.86898,                 1.3335,                0.90948,                0.80572,                0.91642,                0.50043,                 1.3954,                0.84128,                 1.3671,               0.009406,               0.009406,               0.009406
                      8,                 1.4143,                0.85642,                 1.3154,                0.73174,                0.78488,                 0.8068,                0.44673,                 1.3904,                 1.0919,                 1.3547,               0.009307,               0.009307,               0.009307
                      9,                  1.384,                0.82232,                 1.2829,                0.75821,                0.72478,                0.78849,                0.44592,                 1.3684,                 1.0411,                 1.3233,               0.009208,               0.009208,               0.009208
                     10,                 1.3708,                0.81161,                 1.2631,                0.87633,                0.83565,                0.89445,                0.50657,                 1.3809,                0.87453,                 1.3353,               0.009109,               0.009109,               0.009109
