                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3913,                 2.3386,                 1.9889,                0.61306,                0.74057,                0.61847,                0.28688,                 1.4955,                  1.667,                 1.3357,               0.070652,              0.0032609,              0.0032609
                      1,                 1.5058,                 1.0971,                 1.3111,                0.73899,                 0.8066,                  0.806,                 0.4277,                 1.3845,                 1.3699,                 1.2188,               0.040587,              0.0065289,              0.0065289
                      2,                 1.4564,                 1.0726,                 1.2396,                0.66749,                0.72642,                0.72106,                0.34544,                  1.709,                 2.0278,                 1.3517,               0.010456,               0.009731,               0.009731
                      3,                 1.5112,                 1.0589,                 1.2411,                0.75813,                0.81319,                0.84966,                0.45003,                 1.4291,                 1.0484,                 1.2357,               0.009703,               0.009703,               0.009703
                      4,                 1.4662,                0.96354,                 1.2299,                0.83228,                0.79245,                0.87403,                0.49305,                  1.377,                0.97299,                 1.2075,               0.009703,               0.009703,               0.009703
                      5,                 1.4357,                0.94811,                 1.2248,                0.74608,                0.82075,                0.81638,                0.45873,                 1.3854,                 1.1352,                  1.216,               0.009604,               0.009604,               0.009604
                      6,                 1.4396,                0.95882,                 1.2111,                0.84422,                0.79242,                0.86333,                0.49957,                 1.3559,                0.95388,                 1.1877,               0.009505,               0.009505,               0.009505
                      7,                 1.4037,                0.93373,                 1.2167,                 0.7504,                0.84906,                0.88158,                0.49061,                 1.3536,                0.92018,                 1.1981,               0.009406,               0.009406,               0.009406
                      8,                 1.4017,                0.92668,                 1.2165,                 0.7428,                0.84462,                0.84035,                0.46925,                 1.3686,                0.98316,                 1.2213,               0.009307,               0.009307,               0.009307
                      9,                 1.3733,                0.89361,                  1.192,                0.80926,                0.84906,                0.86796,                0.47968,                 1.4063,                0.92534,                 1.2715,               0.009208,               0.009208,               0.009208
                     10,                 1.3776,                0.88974,                 1.2019,                0.82168,                0.83491,                0.88272,                0.50704,                 1.3961,                0.87515,                 1.2601,               0.009109,               0.009109,               0.009109
                     11,                 1.3631,                 0.8773,                 1.2033,                 0.7843,                0.85377,                0.87903,                0.50909,                 1.3409,                 0.9579,                 1.2248,                0.00901,                0.00901,                0.00901
                     12,                 1.3644,                0.90638,                 1.2057,                0.69041,                0.69811,                0.69824,                0.36062,                 1.4732,                 1.1962,                  1.283,               0.008911,               0.008911,               0.008911
                     13,                 1.3405,                0.87083,                 1.1791,                 0.8483,                0.78774,                0.86492,                0.48079,                 1.3898,                0.96398,                 1.2596,               0.008812,               0.008812,               0.008812
                     14,                 1.3335,                0.85505,                 1.1821,                0.85235,                0.81132,                0.89031,                0.51257,                  1.361,                0.91671,                 1.2348,               0.008713,               0.008713,               0.008713
                     15,                 1.3335,                0.84724,                 1.1823,                0.81799,                0.85849,                0.89223,                0.52266,                 1.3165,                0.86269,                   1.21,               0.008614,               0.008614,               0.008614
                     16,                 1.3221,                 0.8291,                 1.1702,                0.83545,                0.79034,                0.87319,                0.49827,                 1.4269,                0.89944,                 1.2658,               0.008515,               0.008515,               0.008515
                     17,                 1.3283,                0.81712,                 1.1735,                0.78524,                0.86235,                0.89568,                0.51293,                 1.3632,                 0.8486,                  1.219,               0.008416,               0.008416,               0.008416
                     18,                 1.3128,                0.82238,                 1.1741,                0.78885,                0.79303,                0.84595,                 0.4559,                  1.402,                0.99275,                  1.233,               0.008317,               0.008317,               0.008317
                     19,                 1.2912,                0.81085,                 1.1573,                0.84584,                 0.8023,                0.88935,                0.50968,                 1.3644,                0.87202,                 1.2227,               0.008218,               0.008218,               0.008218
                     20,                 1.2789,                0.79342,                 1.1611,                0.84177,                0.80299,                0.86283,                0.49089,                 1.4162,                0.90202,                 1.2744,               0.008119,               0.008119,               0.008119
                     21,                 1.2787,                0.79778,                  1.159,                0.85765,                0.84906,                0.89417,                0.50565,                 1.3821,                0.86685,                 1.2252,                0.00802,                0.00802,                0.00802
                     22,                 1.2662,                0.78005,                 1.1588,                0.77991,                0.85246,                 0.8706,                0.49566,                  1.355,                0.91876,                 1.2243,               0.007921,               0.007921,               0.007921
                     23,                 1.2573,                 0.7754,                 1.1552,                0.80108,                0.80189,                0.84682,                0.48096,                 1.3618,                0.90479,                 1.2547,               0.007822,               0.007822,               0.007822
                     24,                  1.257,                0.76921,                 1.1518,                0.85315,                0.82547,                0.86907,                0.49325,                 1.3695,                0.89451,                 1.2297,               0.007723,               0.007723,               0.007723
                     25,                 1.2503,                0.76844,                 1.1513,                0.69883,                0.77712,                0.77909,                0.41933,                 1.4651,                 1.0958,                 1.2962,               0.007624,               0.007624,               0.007624
                     26,                 1.2397,                0.74385,                 1.1363,                0.82973,                0.81132,                 0.8858,                0.50548,                 1.3696,                0.85768,                 1.2393,               0.007525,               0.007525,               0.007525
                     27,                 1.2362,                0.74248,                 1.1413,                0.78078,                0.77282,                 0.8458,                0.47163,                 1.4644,                0.93281,                  1.314,               0.007426,               0.007426,               0.007426
                     28,                 1.2067,                0.71903,                 1.1302,                0.81918,                0.82075,                0.86173,                0.47816,                 1.4843,                0.89598,                 1.2686,               0.007327,               0.007327,               0.007327
                     29,                 1.2146,                0.71768,                 1.1427,                0.79256,                0.86506,                0.88572,                0.48426,                 1.4789,                0.85384,                 1.2971,               0.007228,               0.007228,               0.007228
                     30,                 1.2023,                0.71266,                 1.1316,                0.81453,                0.84934,                0.89216,                0.49032,                 1.4438,                0.86032,                 1.2642,               0.007129,               0.007129,               0.007129
                     31,                 1.1956,                0.70357,                 1.1202,                  0.833,                0.82547,                0.86616,                0.49298,                  1.427,                0.85792,                 1.2567,                0.00703,                0.00703,                0.00703
                     32,                 1.1845,                 0.6981,                 1.1229,                0.83988,                0.79245,                0.86516,                0.50132,                 1.3677,                0.85774,                 1.2484,               0.006931,               0.006931,               0.006931
                     33,                 1.1816,                0.69837,                 1.1206,                0.84256,                0.76415,                0.86351,                 0.4897,                 1.4322,                0.91409,                 1.2899,               0.006832,               0.006832,               0.006832
                     34,                 1.1776,                0.66653,                  1.116,                0.82831,                0.81604,                 0.8675,                0.51408,                 1.3771,                0.89042,                 1.2409,               0.006733,               0.006733,               0.006733
                     35,                 1.1595,                0.66938,                 1.1036,                0.86016,                0.81243,                0.88147,                0.47903,                   1.48,                0.85967,                 1.3043,               0.006634,               0.006634,               0.006634
                     36,                 1.1376,                 0.6647,                  1.101,                0.81953,                0.81604,                0.85184,                0.46634,                 1.5084,                0.88645,                 1.3211,               0.006535,               0.006535,               0.006535
                     37,                 1.1348,                0.64016,                 1.0974,                0.78166,                0.86122,                0.85477,                0.45993,                 1.4878,                0.91293,                 1.2908,               0.006436,               0.006436,               0.006436
                     38,                  1.142,                0.65007,                 1.1008,                 0.8706,                0.76166,                0.88139,                0.48479,                 1.5337,                 0.9059,                 1.3315,               0.006337,               0.006337,               0.006337
                     39,                 1.1417,                0.64904,                 1.1045,                0.78471,                0.82075,                0.88742,                0.48617,                 1.5172,                0.89455,                 1.3204,               0.006238,               0.006238,               0.006238
                     40,                 1.1402,                0.64666,                 1.0951,                0.79866,                0.81604,                0.88115,                  0.469,                 1.5203,                0.87781,                 1.3361,               0.006139,               0.006139,               0.006139
                     41,                 1.1413,                0.64022,                 1.0925,                0.88347,                0.80189,                0.89822,                0.49361,                 1.4912,                0.85586,                 1.3125,                0.00604,                0.00604,                0.00604
                     42,                 1.1066,                0.62392,                 1.0882,                0.86297,                0.81604,                0.88808,                 0.4944,                 1.4568,                0.87008,                  1.307,               0.005941,               0.005941,               0.005941
                     43,                 1.0967,                0.62273,                 1.0776,                0.78682,                0.79245,                0.81117,                0.44191,                 1.5025,                0.96283,                 1.3486,               0.005842,               0.005842,               0.005842
                     44,                 1.1056,                0.63259,                 1.0751,                0.86337,                0.79717,                0.85694,                0.50173,                 1.4075,                 0.8686,                 1.2347,               0.005743,               0.005743,               0.005743
                     45,                 1.0923,                0.61315,                 1.0684,                0.75542,                0.81586,                0.84788,                0.48144,                 1.4973,                0.93925,                 1.3168,               0.005644,               0.005644,               0.005644
                     46,                 1.0783,                0.60379,                 1.0687,                0.84226,                0.80598,                0.88294,                0.50108,                 1.4891,                0.83962,                 1.3031,               0.005545,               0.005545,               0.005545
                     47,                 1.0674,                0.59048,                 1.0649,                0.73625,                0.85849,                0.84676,                0.45543,                 1.5744,                0.93508,                 1.3562,               0.005446,               0.005446,               0.005446
                     48,                 1.0547,                0.59849,                  1.061,                0.73628,                0.81604,                0.82319,                0.45085,                 1.5064,                0.90936,                 1.3372,               0.005347,               0.005347,               0.005347
                     49,                 1.0524,                0.57984,                 1.0514,                0.75671,                0.88679,                0.88272,                0.48433,                 1.4502,                0.85732,                 1.2901,               0.005248,               0.005248,               0.005248
                     50,                 1.0569,                0.58425,                 1.0617,                0.82048,                0.84076,                0.90176,                0.50919,                  1.422,                0.80329,                 1.2631,               0.005149,               0.005149,               0.005149
                     51,                 1.0424,                0.57612,                 1.0545,                0.90064,                0.76964,                0.87473,                0.49638,                 1.4921,                0.85853,                 1.3071,                0.00505,                0.00505,                0.00505
                     52,                 1.0308,                0.56594,                 1.0483,                0.77949,                0.83491,                0.84489,                0.46784,                 1.5054,                 0.9023,                 1.3237,               0.004951,               0.004951,               0.004951
                     53,                 1.0237,                0.55569,                  1.045,                0.82596,                0.85377,                0.85164,                0.46474,                 1.4827,                  0.891,                 1.3171,               0.004852,               0.004852,               0.004852
                     54,                 1.0059,                0.54871,                 1.0384,                0.82023,                0.86087,                0.84799,                0.48232,                 1.4746,                0.85415,                 1.3169,               0.004753,               0.004753,               0.004753
                     55,                 1.0182,                0.54901,                 1.0423,                0.82713,                0.81132,                0.87267,                0.48568,                 1.4684,                0.89523,                 1.3167,               0.004654,               0.004654,               0.004654
                     56,                  1.005,                0.54841,                 1.0429,                0.86784,                0.79717,                0.87857,                0.48878,                 1.4958,                0.88236,                 1.3029,               0.004555,               0.004555,               0.004555
                     57,                 1.0072,                0.55008,                 1.0404,                0.88811,                0.76415,                0.88982,                0.50298,                 1.4665,                0.83851,                 1.2951,               0.004456,               0.004456,               0.004456
                     58,                0.97368,                 0.5377,                 1.0228,                0.84989,                0.80122,                0.86617,                0.47378,                 1.5208,                0.88946,                 1.3363,               0.004357,               0.004357,               0.004357
                     59,                0.97373,                0.51895,                 1.0199,                0.80045,                0.83962,                0.86734,                0.49657,                 1.4878,                0.90489,                 1.3302,               0.004258,               0.004258,               0.004258
                     60,                0.97634,                0.51869,                 1.0278,                0.81058,                 0.8276,                0.87629,                0.48878,                   1.51,                 0.8421,                 1.3528,               0.004159,               0.004159,               0.004159
                     61,                0.96269,                0.51756,                  1.021,                0.81906,                 0.8114,                0.85583,                0.47971,                 1.5578,                0.85651,                 1.3987,                0.00406,                0.00406,                0.00406
                     62,                 0.9538,                0.51494,                 1.0162,                0.80446,                0.84434,                0.86018,                0.46557,                 1.5466,                0.85792,                 1.3625,               0.003961,               0.003961,               0.003961
                     63,                0.93401,                0.50815,                  1.008,                 0.7554,                0.85377,                0.86253,                0.48913,                 1.4719,                0.84972,                 1.3219,               0.003862,               0.003862,               0.003862
                     64,                0.93934,                0.50043,                 1.0107,                0.78953,                0.80189,                0.84564,                0.49004,                 1.4559,                0.94762,                 1.3321,               0.003763,               0.003763,               0.003763
                     65,                0.94831,                0.51204,                 1.0151,                0.82695,                 0.8066,                0.85569,                0.46098,                 1.5305,                0.92249,                 1.3604,               0.003664,               0.003664,               0.003664
                     66,                0.93478,                0.49793,                 1.0102,                0.79477,                0.84906,                0.85009,                0.46738,                 1.5024,                0.85563,                 1.3443,               0.003565,               0.003565,               0.003565
                     67,                0.92029,                 0.4923,                  1.013,                0.82556,                0.82075,                0.84069,                0.45035,                 1.5744,                0.84163,                 1.4324,               0.003466,               0.003466,               0.003466
                     68,                0.91301,                0.49094,                 1.0024,                0.83844,                0.83962,                0.87157,                 0.4921,                 1.4816,                 0.8516,                 1.3343,               0.003367,               0.003367,               0.003367
                     69,                0.89991,                0.48196,                 1.0003,                0.80306,                0.82707,                0.84902,                0.48209,                 1.5145,                0.92268,                 1.3379,               0.003268,               0.003268,               0.003268
                     70,                0.89406,                0.48333,                0.99485,                0.83061,                0.83269,                0.85891,                0.47626,                 1.5124,                0.84955,                 1.3646,               0.003169,               0.003169,               0.003169
                     71,                0.88738,                0.47064,                 1.0005,                0.75494,                0.85849,                0.86459,                0.48989,                 1.5526,                0.89597,                 1.3942,                0.00307,                0.00307,                0.00307
                     72,                0.88695,                0.47758,                  1.001,                0.79773,                0.87435,                0.87643,                 0.4912,                 1.5393,                0.86479,                  1.378,               0.002971,               0.002971,               0.002971
                     73,                0.86697,                0.47196,                0.99019,                0.78592,                0.83491,                0.85603,                0.47946,                  1.546,                0.90992,                 1.3995,               0.002872,               0.002872,               0.002872
                     74,                0.87372,                 0.4691,                0.98616,                 0.7951,                  0.842,                0.84453,                0.46179,                 1.5567,                0.94428,                 1.4051,               0.002773,               0.002773,               0.002773
                     75,                0.86441,                0.46439,                0.98265,                0.80843,                0.83019,                0.83957,                0.46936,                 1.5469,                0.92492,                  1.421,               0.002674,               0.002674,               0.002674
                     76,                0.84436,                0.45345,                0.97367,                0.81883,                0.82075,                0.84618,                  0.474,                 1.5259,                0.93925,                 1.3949,               0.002575,               0.002575,               0.002575
                     77,                0.83838,                0.44744,                 0.9792,                0.84336,                0.83491,                0.86304,                0.48381,                 1.5063,                0.88951,                 1.3851,               0.002476,               0.002476,               0.002476
                     78,                0.84091,                0.44573,                0.97733,                0.80825,                0.86321,                 0.8636,                0.49079,                 1.5062,                0.89762,                 1.3795,               0.002377,               0.002377,               0.002377
                     79,                0.83263,                0.43913,                0.97162,                0.79696,                0.83317,                0.85819,                0.49553,                 1.4953,                0.88253,                 1.3779,               0.002278,               0.002278,               0.002278
                     80,                0.81827,                0.43785,                0.96709,                0.79467,                0.83491,                0.86616,                0.50148,                 1.5091,                0.89163,                  1.394,               0.002179,               0.002179,               0.002179
                     81,                0.82697,                0.44192,                0.97653,                0.81108,                0.78981,                0.84937,                0.47809,                 1.5592,                0.96042,                 1.4289,                0.00208,                0.00208,                0.00208
                     82,                0.81225,                0.43249,                0.96511,                0.81887,                0.84434,                0.86465,                0.48892,                 1.5498,                0.87914,                 1.4251,               0.001981,               0.001981,               0.001981
                     83,                0.81393,                0.43735,                0.97037,                0.80068,                0.87162,                0.85074,                0.48572,                 1.5199,                0.87282,                 1.4014,               0.001882,               0.001882,               0.001882
                     84,                0.80094,                0.43411,                0.96551,                0.80363,                0.83491,                0.84937,                 0.4843,                 1.5556,                0.89496,                 1.4286,               0.001783,               0.001783,               0.001783
                     85,                 0.8021,                0.43307,                0.96924,                0.80449,                0.82075,                0.84112,                0.48339,                 1.5289,                0.89678,                 1.4042,               0.001684,               0.001684,               0.001684
                     86,                0.78795,                0.42588,                0.96658,                0.77523,                  0.846,                0.84522,                 0.4765,                 1.5499,                0.93045,                 1.4129,               0.001585,               0.001585,               0.001585
                     87,                0.78584,                0.42314,                0.95814,                0.81993,                 0.8066,                0.84515,                0.47343,                 1.5836,                0.92372,                 1.4626,               0.001486,               0.001486,               0.001486
                     88,                0.78279,                0.41985,                0.96203,                0.83105,                0.83528,                0.88055,                 0.4974,                 1.5786,                0.87754,                 1.4589,               0.001387,               0.001387,               0.001387
                     89,                0.76782,                0.40921,                0.95329,                 0.8076,                0.87736,                0.88472,                0.49166,                 1.5781,                0.85923,                 1.4789,               0.001288,               0.001288,               0.001288
                     90,                0.77682,                0.41563,                0.95986,                 0.8497,                0.81604,                0.85609,                0.48744,                 1.5707,                 0.8676,                 1.4416,               0.001189,               0.001189,               0.001189
                     91,                0.75983,                0.40455,                0.94651,                  0.847,                0.79717,                0.85644,                0.47884,                 1.5826,                0.87023,                 1.4351,                0.00109,                0.00109,                0.00109
                     92,                0.76519,                0.40756,                0.95977,                0.78928,                0.86575,                 0.8535,                0.48228,                 1.5751,                 0.8756,                   1.44,               0.000991,               0.000991,               0.000991
