                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3216,                  2.199,                 2.0207,                0.75414,                0.78302,                0.79531,                0.42121,                 1.5029,                 1.1794,                 1.4099,               0.070652,              0.0032609,              0.0032609
                      1,                 1.4306,                 1.0821,                 1.3307,                0.75438,                0.80189,                0.78534,                0.43771,                  1.403,                0.98392,                 1.3196,               0.040587,              0.0065289,              0.0065289
                      2,                 1.4524,                 1.0399,                 1.3087,                 0.6808,                0.78472,                0.73123,                0.41654,                 1.3205,                 1.1636,                 1.2692,               0.010456,               0.009731,               0.009731
                      3,                   1.45,                 1.0087,                  1.304,                0.69744,                0.77199,                0.78927,                0.42641,                 1.4581,                 1.1474,                 1.3944,               0.009703,               0.009703,               0.009703
                      4,                 1.4147,                 0.9109,                 1.2976,                0.83636,                0.81968,                0.89718,                 0.4868,                 1.4706,                 1.0193,                 1.3653,               0.009703,               0.009703,               0.009703
                      5,                 1.4255,                0.88099,                 1.3087,                0.75488,                0.80189,                0.81348,                0.43131,                 1.4663,                 1.1986,                 1.4123,               0.009604,               0.009604,               0.009604
                      6,                 1.4185,                0.89999,                 1.3088,                0.77833,                0.77841,                0.84944,                 0.4942,                 1.3743,                0.90813,                 1.3437,               0.009505,               0.009505,               0.009505
                      7,                 1.3895,                0.85862,                 1.2989,                0.77787,                0.74331,                0.82993,                0.44919,                 1.4339,                 1.0827,                 1.4216,               0.009406,               0.009406,               0.009406
                      8,                 1.3692,                0.82353,                 1.2954,                0.76615,                0.77271,                0.80444,                0.44236,                 1.4187,                 0.9699,                 1.3777,               0.009307,               0.009307,               0.009307
                      9,                 1.3726,                0.80298,                 1.2798,                0.79136,                0.82547,                0.85258,                0.46731,                 1.4775,                0.92938,                 1.4107,               0.009208,               0.009208,               0.009208
                     10,                 1.3651,                0.78992,                 1.2794,                0.77426,                0.82075,                0.86131,                0.48788,                 1.3775,                0.92975,                 1.3485,               0.009109,               0.009109,               0.009109
